word,group,count
stateoftheart,1,145
deep,1,112
visual,1,86
neural,2,85
large,2,82
semantic,2,78
object,3,69
single,3,65
adversarial,3,61
multiple,4,59
extensive,4,57
high,4,56
previous,5,54
human,5,50
pose,5,50
significantly,6,46
