word,group,count
information,1,173
search,1,124
google,2,187
police,2,119
users,2,99
people,3,148
company,3,200
government,3,137
surveillance,4,145
privacy,4,130
intercept,4,129
facebook,5,248
rights,5,102
law,5,106
data,6,184
