word,group,count
human,1,81
social,2,70
public,2,64
chinese,2,57
federal,3,52
private,3,52
political,3,48
internal,4,41
personal,4,39
sensitive,4,36
facial,5,33
long,5,33
local,5,32
american,6,32
censored,6,31
artificial,6,30
small,7,28
