Title,Name_URL,Tag1,Tag2,column,Follow
Fueled Ventures,https://angel.co/company/fueled-ventures,New York City,Social Media Platforms,"
Jan ’16
","
42
"
Mavenlink,https://angel.co/company/mavenlink,San Francisco,Enterprise Resource Planning,"
Dec ’13
","
99
"
Jetty,https://angel.co/company/jettyinsurance,New York City,Insurance,"
Jan ’16
","
136
"
Case,https://angel.co/company/casewallet,New York City,Bitcoin,"
Feb ’15
","
310
"
Standard Cyborg,https://angel.co/company/standard-cyborg,San Francisco,Computer Vision,"
Apr ’15
","
340
"
Top Hat,https://angel.co/company/top-hat,Toronto,Market Research,"
Feb ’11
","
530
"
Poll Everywhere,https://angel.co/company/poll-everywhere,San Francisco,Real Time,"
Mar ’12
","
156
"
WorkRamp,https://angel.co/company/workramp,San Francisco,Sales Automation,"
Sep ’16
","
62
"
Clipboard Health,https://angel.co/company/clipboardhealth,Remote,Marketplaces,"
Mar ’17
","
429
"
Nutanix,https://angel.co/company/nutanix,San Jose,Virtualization,"
May ’14
","
193
"
SpotAngels,https://angel.co/company/spot-angels,San Francisco,Maps,"
Jan ’16
","
81
"
Carta,https://angel.co/company/eshares,Palo Alto,Marketplaces,"
Sep ’12
","
1080
"
DailyDrip,https://angel.co/company/dailydrip,Boulder,Video Streaming,"
Feb ’16
","
143
"
Teamly,https://angel.co/company/teamly,Las Vegas,Human Resources,"
Apr ’11
","
803
"
Tovala,https://angel.co/company/tovala,Chicago,Home Automation,"
Feb ’16
","
157
"
Looklive,https://angel.co/company/looklive,San Francisco,E-Commerce Platforms,"
Aug ’16
","
53
"
Betagig,https://angel.co/company/betagig,Los Angeles,Career Planning,"
Jul ’16
","
54
"
hulu - Beijing,https://angel.co/company/hulu-beijing,Beijing,TV Production,"
Jan ’17
","
50
"
Distributed Systems,https://angel.co/company/cleargraphinc,San Francisco,Blockchains,"
Jan ’17
","
67
"
Kylie.ai (acquired),https://angel.co/company/kylieai,San Francisco,SaaS,"
Jan ’17
","
180
"
WorkStep,https://angel.co/company/workstep,San Francisco,Human Resources,"
Jun ’17
","
153
"
Rimeto,https://angel.co/company/rimeto,San Francisco,Productivity Software,"
Oct ’16
","
88
"
Yoshi,https://angel.co/company/startyoshi,San Francisco,Business Services,"
Sep ’16
","
114
"
Chowbotics,https://angel.co/company/chowbotics,Hayward,Hospitals,"
Mar ’17
","
105
"
Pit.AI Technologies,https://angel.co/company/pitaitechnologies,San Jose,Hedge Funds,"
Mar ’17
","
87
"
MANOR,https://angel.co/company/manor-2,Chicago,B2B,"
May ’17
","
68
"
theMednet,https://angel.co/company/themednet,New York City,Healthcare,"
Jun ’17
","
72
"
Brave,https://angel.co/company/brave,San Francisco,Web Browsers,"
Jul ’16
","
251
"
Windfall,https://angel.co/company/windfall-data,San Francisco,Predictive Analytics,"
Jul ’16
","
190
"
Morty,https://angel.co/company/morty,New York City,Consumer Lending,"
Aug ’16
","
139
"
Armory,https://angel.co/company/armory,San Mateo,Developer Tools,"
Sep ’16
","
107
"
Algebraix Data,https://angel.co/company/algebraix-data,Encinitas,Software,"
May ’13
","
3
"
SensioLabs,https://angel.co/company/sensiolabs,Paris,Open Source,"
Oct ’13
","
44
"
Exo,https://angel.co/company/exo,New York City,Agriculture,"
Nov ’13
","
490
"
High Fidelity,https://angel.co/company/high-fidelity,San Francisco,Hardware + Software,"
Dec ’17
","
38
"
GoCoin,https://angel.co/company/gocoin,Santa Monica,Online Shopping,"
Oct ’13
","
547
"
awear,https://angel.co/company/awear,San Francisco,Messaging,"
Oct ’13
","
184
"
Pinshape,https://angel.co/company/pinshape,Vancouver,3D Printing,"
Oct ’13
","
224
"
Moonfrye,https://angel.co/company/moonfrye,Los Angeles,Mobile Commerce,"
Oct ’13
","
503
"
Sample6,https://angel.co/company/sample6,Boston,Biotechnology,"
Oct ’13
","
53
"
Peerform,https://angel.co/company/peerform,New York City,Personal Finance,"
Nov ’15
","
70
"
Navdy,https://angel.co/company/navdy,San Francisco,Consumer Electronics,"
Jan ’15
","
890
"
Drop,https://angel.co/company/drop-kitchen,San Francisco,Cooking,"
Jan ’14
","
120
"
Splice,https://angel.co/company/splice,New York City,Music Technology,"
Oct ’13
","
350
"
Mindie,https://angel.co/company/mindie,San Francisco,Music,"
Jan ’14
","
134
"
BuyNow Worldwide,https://angel.co/company/buynow-worldwide,New York,Mobile Commerce,"
Nov ’13
","
342
"
Vectr Ventures,https://angel.co/company/vectr-ventures,Hong Kong,Venture Capital,"
Apr ’14
","
240
"
Electric Objects,https://angel.co/company/electric-objects,New York City,Consumer Electronics,"
Feb ’15
","
275
"
MULTICHANNEL,https://angel.co/company/multichannel-1,Mountain View,Advertising Platforms,"
Nov ’13
","
21
"
Lookback,https://angel.co/company/lookback,Palo Alto,Usability,"
Oct ’13
","
279
"
ThreatStream,https://angel.co/company/threatstream-1,Redwood City,Information Security,"
May ’14
","
58
"
Beeline Bikes,https://angel.co/company/beeline-bikes,San Carlos,Bicycles,"
Nov ’13
","
203
"
IfOnly,https://angel.co/company/ifonly,San Francisco,Wine And Spirits,"
Oct ’13
","
115
"
Sweep (acquired by Affirm),https://angel.co/company/sweep,San Francisco,Personal Finance,"
Oct ’13
","
195
"
Brewbot,https://angel.co/company/brewbot,Belfast,Consumer Electronics,"
Nov ’13
","
498
"
Confide,https://angel.co/company/confide,New York City,Messaging,"
Jan ’14
","
97
"
Eligible,https://angel.co/company/eligible,Brooklyn,Developer APIs,"
Mar ’12
","
1007
"
Shout,https://angel.co/company/shout,New York City,Sharing Economy,"
Jan ’14
","
134
"
Pomelo Fashion,https://angel.co/company/pomelo-fashion,Bangkok,Mobile Commerce,"
Jan ’14
","
95
"
Sphere,https://angel.co/company/sphere-1,San Francisco,Social Media Platforms,"
Jul ’13
","
84
"
Chaldal.com,https://angel.co/company/chaldal,Dhaka,Groceries,"
Jan ’14
","
177
"
Felt,https://angel.co/company/feltapp,Weddings,,"
Dec ’13
","
225
"
Bowery,https://angel.co/company/bowery,New York City,Developer Tools,"
Jan ’14
","
90
"
LedgerX,https://angel.co/company/ledgerx,New York City,Finance Technology,"
Jan ’14
","
384
"
Tengah,https://angel.co/company/tengah,New York City,Internet Infrastructure,"
Dec ’13
","
39
"
Koding,https://angel.co/company/koding,San Francisco,Application Platforms,"
Jun ’11
","
323
"
Exposure,https://angel.co/company/exposure-co,Atlanta,Web CMS,"
Jan ’15
","
128
"
Rapportive,https://angel.co/company/rapportive,United States,Messaging,"
May ’10
","
787
"
Amazon Alexa,https://angel.co/company/amazon-alexa-3,Cambridge,Speech Recognition,"
Sep ’16
","
201
"
Asseta,https://angel.co/company/asseta,San Francisco,B2B,"
Mar ’13
","
809
"
oDesk,https://angel.co/company/odesk,Crowdsourcing,,"
Mar ’13
","
107
"
Blockstack PBC,https://angel.co/company/blockstack,New York City,Open Source,"
Sep ’13
","
900
"
ProductionPro,https://angel.co/company/productionpro,New York City,Film,"
Dec ’13
","
106
"
Cherry,https://angel.co/company/cherry,San Francisco,Automotive,"
Jun ’12
","
79
"
Guardant Health,https://angel.co/company/guardant-health,Redwood City,Health and Wellness,"
Sep ’12
","
81
"
GIPHY,https://angel.co/company/giphy,New York City,Photo Sharing,"
Feb ’15
","
176
"
Rinse,https://angel.co/company/rinse,San Francisco,Location Based Services,"
Dec ’13
","
843
"
Apozy,https://angel.co/company/apozy,San Francisco,Enterprise Security,"
Dec ’12
","
143
"
Perlara PBC,https://angel.co/company/perlara-pbc,San Francisco,Therapeutics,"
Feb ’14
","
154
"
Lumoid,https://angel.co/company/lumoid,San Francisco,Consumer Electronics,"
Jan ’14
","
344
"
Walker & Company Brands,https://angel.co/company/walker-company-brands,Palo Alto,Beauty,"
Jan ’14
","
282
"
Canopy Labs,https://angel.co/company/canopy-labs,Toronto,Personalization,"
May ’14
","
52
"
Catalant Technologies,https://angel.co/company/catalanttechnologies,Chicago,Business Services,"
May ’13
","
218
"
