Title,Name_URL,Tag1,Tag2,column,Follow
Shippo,https://angel.co/company/shippo,San Francisco,Developer APIs,"
Jul ’13
","
1127
"
Newsela,https://angel.co/company/newsela,Mountain View,Language Learning,"
Aug ’13
","
252
"
StatusPage.io,https://angel.co/company/statuspage-io,Denver,Developer APIs,"
Aug ’13
","
134
"
Rigetti Computing,https://angel.co/company/rigetti-quantum-computing-1,Berkeley,High Performance Computing,"
Jul ’13
","
299
"
Carnival Mobile,https://angel.co/company/carnival-mobile,New York City,Mobile Advertising,"
Oct ’13
","
32
"
Alchemy,https://angel.co/company/alchemynano,Waterloo,Advanced Materials,"
Aug ’13
","
145
"
Connectloud,https://angel.co/company/connectloud,Dallas,Cloud Management,"
Jul ’13
","
22
"
Sprio,https://angel.co/company/sprio,Seattle,Collaboration,"
Sep ’13
","
41
"
opvizor,https://angel.co/company/opvizor,Houston,Virtualization,"
Jul ’13
","
33
"
AppsBuilder,https://angel.co/company/appsbuilder-1,Milan,Application Platforms,"
Jul ’13
","
38
"
Adbrain,https://angel.co/company/adbrain-3,San Francisco,Advertising Platforms,"
Jul ’13
","
111
"
Doorman,https://angel.co/company/doorman-1,San Francisco,Logistics,"
Jul ’13
","
583
"
Insightly,https://angel.co/company/insightly-1,San Francisco,Small and Medium Businesses,"
Aug ’13
","
168
"
TrueVault,https://angel.co/company/truevault,San Francisco,Personal Data,"
Jul ’13
","
273
"
True Link Financial,https://angel.co/company/true-link,San Francisco,Fraud Detection,"
Jul ’13
","
544
"
Integral Ad Science,https://angel.co/company/integral-ad-science,Austin,Advertising Platforms,"
Aug ’13
","
96
"
Yoyo,https://angel.co/company/yoyowallet,London,Loyalty Programs,"
Jul ’13
","
256
"
Clect - Collect Together,https://angel.co/company/clect-collect-together,San Francisco,Collectibles,"
Jul ’13
","
224
"
hCentive,https://angel.co/company/hcentive,Reston,Health Care Information Technology,"
Oct ’13
","
48
"
Brewbird,https://angel.co/company/brewbird,San Mateo,Product Design,"
Aug ’14
","
455
"
Kabbee,https://angel.co/company/kabbee,London,Taxis,"
Jul ’13
","
49
"
Pegg,https://angel.co/company/pegg,New York City,Social Media Platforms,"
Jun ’13
","
109
"
Matter.io (Acquired by Junction),https://angel.co/company/matter-io,Brooklyn,Manufacturing,"
Jul ’13
","
225
"
Naja,https://angel.co/company/naja,Los Angeles,Lingerie,"
Jun ’13
","
496
"
LawTrades,https://angel.co/company/lawtrades,New York City,Legal,"
Jul ’13
","
318
"
Planet,https://angel.co/company/planet-labs,San Francisco,Predictive Analytics,"
Sep ’14
","
332
"
Bring Me That,https://angel.co/company/bringmethat,New York City,E-Commerce Platforms,"
Jun ’13
","
371
"
Madefire,https://angel.co/company/madefire,Berkeley,Technology,"
Oct ’16
","
26
"
Quanergy Systems,https://angel.co/company/quanergy-systems,Silicon Valley,Location Based Services,"
Jun ’13
","
30
"
Robinhood,https://angel.co/company/robinhood,Menlo Park,Personal Finance,"
Jul ’13
","
1312
"
Immediately,https://angel.co/company/immediately,San Francisco,SaaS,"
Sep ’12
","
596
"
Hightower,https://angel.co/company/hightower,New York City,Commercial Real Estate,"
Jul ’13
","
415
"
CloudTags,https://angel.co/company/cloudtags,Atlanta,Location Based Services,"
Jun ’13
","
305
"
Hipcamp,https://angel.co/company/hipcamp,San Francisco,Online Reservations,"
Jun ’13
","
1150
"
ReSci (Retention Science),https://angel.co/company/retention-science,Santa Monica,Predictive Analytics,"
Jun ’12
","
811
"
mParticle,https://angel.co/company/mparticle,Delray Beach,Cloud Data Services,"
Sep ’13
","
296
"
Codementor,https://angel.co/company/codementor,Taiwan,Social Recruiting,"
Jun ’13
","
1089
"
Opsmatic,https://angel.co/company/opsmatic,San Francisco,Developer APIs,"
Jun ’13
","
106
"
WellnessFX,https://angel.co/company/wellnessfx,San Francisco,Personal Health,"
Apr ’12
","
320
"
SignalFire,https://angel.co/company/signalfire,San Francisco,Angels,"
Sep ’13
","
381
"
Totspot,https://angel.co/company/totspot,Mountain View,Mobile Commerce,"
Jul ’13
","
146
"
FloydHub (YC W17),https://angel.co/company/floydhub,San Francisco,Cloud Infrastructure,"
Mar ’17
","
112
"
Peer5,https://angel.co/company/peer5,San Francisco,Content Delivery,"
May ’14
","
500
"
Counterview Capital,https://angel.co/company/bds-venture-fund,Jericho,Technology,"
Mar ’16
","
20
"
Thinknum,https://angel.co/company/thinknum,New York City,Big Data,"
Jun ’13
","
279
"
MustBin,https://angel.co/company/mustbin,Boston,Productivity Software,"
Jun ’13
","
44
"
REscour,https://angel.co/company/rescour,Atlanta,Brokers,"
Jul ’13
","
747
"
Shopventory,https://angel.co/company/shopventory,Denver,Retail Technology,"
Jun ’13
","
168
"
Soma Water,https://angel.co/company/soma-water,San Francisco,Product Design,"
May ’14
","
309
"
Skilljar,https://angel.co/company/skilljar,Seattle,B2B,"
Jun ’13
","
426
"
Rocketrip,https://angel.co/company/rocketrip,New York City,SaaS,"
Jul ’13
","
295
"
Sales Beach,https://angel.co/company/sales-beach,San Francisco,Lead Generation,"
Jul ’13
","
309
"
myTips,https://angel.co/company/mytips,San Francisco,Optimization,"
Jul ’13
","
115
"
Slidely,https://angel.co/company/slidely,Tel Aviv-Yafo,Photo Sharing,"
Jun ’13
","
23
"
fitmob,https://angel.co/company/fitmob,San Francisco,Fitness,"
Jun ’13
","
1079
"
Ironfire Ventures,https://angel.co/company/ironfireventures,San Francisco,Early-Stage Technology,"
Jul ’13
","
172
"
Two Tap,https://angel.co/company/two-tap,San Francisco,Mobile Commerce,"
Jul ’13
","
182
"
Fooda,https://angel.co/company/fooda,Chicago,B2B,"
Feb ’13
","
267
"
Noom,https://angel.co/company/noom,New York City,Consulting,"
Oct ’14
","
398
"
Canary,https://angel.co/company/canary,New York City,Computer Vision,"
Mar ’14
","
401
"
Alignable,https://angel.co/company/alignable,Boston,Small and Medium Businesses,"
Jul ’13
","
72
"
LogDNA,https://angel.co/company/logdna,Mountain View,Real Time,"
Apr ’14
","
145
"
Move Loot,https://angel.co/company/move-loot,San Francisco,Shared Services,"
Aug ’13
","
234
"
Tinybop,https://angel.co/company/tinybop,New York City,Kids,"
Jul ’13
","
120
"
Namshi,https://angel.co/company/namshi,Dubai,E-Commerce,"
Apr ’13
","
87
"
SendHub,https://angel.co/company/sendhub,Menlo Park,Small and Medium Businesses,"
Oct ’14
","
1374
"
Level Money,https://angel.co/company/level-money,San Francisco,Personal Finance,"
Oct ’13
","
110
"
Leap Motion,https://angel.co/company/leap-motion,San Francisco,Augmented Reality,"
Mar ’11
","
1518
"
meta,https://angel.co/company/meta-1,New York City,Augmented Reality,"
Mar ’13
","
82
"
Stayful,https://angel.co/company/stayful,San Francisco,Hospitality,"
Jan ’14
","
285
"
Iterable,https://angel.co/company/iterable,San Francisco,B2B,"
May ’13
","
2627
"
Patient IO,https://angel.co/company/patient-io,Austin,Mobile Health,"
Mar ’13
","
327
"
Petnet,https://angel.co/company/petnet,Los Angeles,Intelligent Systems,"
Jun ’13
","
171
"
Media Camp,https://angel.co/company/media-camp,San Francisco,Technology,"
Mar ’13
","
603
"
Wonder Workshop,https://angel.co/company/wonder-workshop,San Mateo,Robotics,"
Oct ’13
","
324
"
Synack,https://angel.co/company/synack,Austin,Crowdsourcing,"
Mar ’13
","
230
"
TellApart,https://angel.co/company/tellapart,San Francisco,Predictive Analytics,"
Apr ’13
","
280
"
ThirdLove,https://angel.co/company/thirdlove-1,Chico,Shopping,"
May ’13
","
751
"
Wish,https://angel.co/company/wish,San Francisco,Content Discovery,"
Jan ’12
","
305
"
Promoter.io,https://angel.co/company/promoter-io,San Antonio,Small and Medium Businesses,"
Apr ’13
","
122
"
Clerky,https://angel.co/company/clerky,Emeryville,Legal,"
Mar ’13
","
227
"
CloudHealth Technologies,https://angel.co/company/cloudhealth-technologies,Boston,Cloud Management,"
Mar ’13
","
180
"
Apprenda,https://angel.co/company/apprenda-1,New York City,Cloud Infrastructure,"
Mar ’13
","
37
"
Dragon Innovation,https://angel.co/company/dragon-innovation,Cambridge,Consumer Electronics,"
Jul ’13
","
188
"
Written,https://angel.co/company/written,Austin,Business Services,"
Nov ’13
","
110
"
Streem,https://angel.co/company/streem,San Francisco,File Sharing,"
Mar ’13
","
690
"
AlienVault,https://angel.co/company/alienvault,San Mateo,Security,"
Feb ’13
","
47
"
littleBits,https://angel.co/company/littlebits,New York City,Open Source,"
Oct ’13
","
140
"
Opencare.com,https://angel.co/company/opencare,San Francisco,Online Reservations,"
Apr ’13
","
859
"
BoxC,https://angel.co/company/boxc,New York City,Logistics,"
Mar ’13
","
940
"
Voyat,https://angel.co/company/voyat,New York City,Application Platforms,"
Apr ’13
","
219
"
BloomThat,https://angel.co/company/bloomthat,San Francisco,Flowers,"
Feb ’13
","
523
"
CrowdStreet,https://angel.co/company/crowdstreet,Portland,Crowdfunding,"
Feb ’13
","
297
"
Soylent,https://angel.co/company/soylent,Azusa,Food Processing,"
Jun ’15
","
349
"
Tastemade,https://angel.co/company/tastemade,Santa Monica,Video,"
Jan ’14
","
115
"
Curriculet,https://angel.co/company/curriculet,San Francisco,K-12 Education,"
Jun ’13
","
91
"
attune,https://angel.co/company/attune,Mountain View,E-Commerce Platforms,"
Sep ’13
","
822
"
Equipboard,https://angel.co/company/equipboard,Austin,Social Commerce,"
Mar ’13
","
176
"
Havenly,https://angel.co/company/havenly,Interior Design,,"
Jul ’13
","
595
"
BackerKit,https://angel.co/company/backerkit,San Francisco,Social CRM,"
Jan ’15
","
172
"
Upwave,https://angel.co/company/upwaveinc,San Francisco,Ad Targeting,"
Mar ’13
","
509
"
Judicata,https://angel.co/company/judicata,San Francisco,Legal,"
Mar ’13
","
274
"
Underground Cellar,https://angel.co/company/underground-cellar,San Francisco,Wine And Spirits,"
Mar ’13
","
407
"
Squadle,https://angel.co/company/squadle,Cambridge,Retail Technology,"
Aug ’15
","
246
"
Harry's,https://angel.co/company/harrys,Eisfeld,Price Comparison,"
Aug ’13
","
363
"
BriteHub,https://angel.co/company/britehub-2,Oakland,Manufacturing,"
Mar ’13
","
121
"
Citia,https://angel.co/company/citia,New York City,Content Marketing,"
Mar ’13
","
72
"
Unwind Me,https://angel.co/company/unwind-me,San Francisco,Marketplaces,"
Mar ’13
","
448
"
LoungeBuddy-American Express,https://angel.co/company/loungebuddy,San Francisco,Social Travel,"
Aug ’13
","
396
"
Kelvin,https://angel.co/company/kelvin-6,San Francisco,Industrial,"
Aug ’13
","
144
"
SalesLoft,https://angel.co/company/salesloft,Atlanta,B2B,"
Sep ’11
","
179
"
Prizeo,https://angel.co/company/prizeo,Mountain View,Brand Marketing,"
Mar ’13
","
115
"
Prevoty,https://angel.co/company/prevoty,Los Angeles,Enterprise Security,"
May ’13
","
92
"
Atomic Reach,https://angel.co/company/atomic-reach,Toronto,Content Discovery,"
Mar ’13
","
89
"
Public Good,https://angel.co/company/public-good-software,Chicago,Social News,"
Oct ’14
","
153
"
Enuma,https://angel.co/company/enuma,Berkeley,K-12 Education,"
Apr ’13
","
122
"
Graft Concepts,https://angel.co/company/graft-concepts,Mountain View,Mass Customization,"
Apr ’13
","
97
"
