word,group,count
mobile,1,93
high,1,92
easy,1,91
military,2,82
global,2,79
large,3,78
digital,3,70
real,3,70
social,4,64
small,4,61
great,4,58
good,5,55
fast,5,54
online,6,53
financial,6,51
realtime,6,49
