word,group,count
human,1,81
social,1,70
public,2,64
chinese,2,57
federal,2,52
private,2,52
political,3,48
internal,3,41
personal,3,39
long,3,38
sensitive,4,36
facial,4,33
local,4,32
small,4,32
american,5,32
censored,5,31
artificial,5,30
large,5,30
civil,6,28
